X_Mill1_Leh_100300400003_Leh_Atta	20.97
X_Mill1_Leh_100300400003_Leh_Wheat1	1.0
X_Mill1_Leh_100300400004_Leh_Atta	21.06
X_Mill1_Leh_100300400004_Leh_Wheat1	1.0
X_Mill1_Leh_100300400005_Leh_Atta	28.41
X_Mill1_Leh_100300400005_Leh_Wheat1	1.0
X_Mill1_Leh_100300400007_Leh_Atta	15.39
X_Mill1_Leh_100300400007_Leh_Wheat1	1.0
X_Mill1_Leh_100300400008_Leh_Atta	12.9
X_Mill1_Leh_100300400008_Leh_Wheat1	1.0
X_Mill1_Leh_100300400009_Leh_Atta	25.44
X_Mill1_Leh_100300400009_Leh_Wheat1	1.0
X_Mill1_Leh_100300400010_Leh_Atta	41.19
X_Mill1_Leh_100300400010_Leh_Wheat1	1.0
X_Mill1_Leh_100300400011_Leh_Atta	11.82
X_Mill1_Leh_100300400011_Leh_Wheat1	1.0
X_Mill1_Leh_100300400012_Leh_Atta	29.28
X_Mill1_Leh_100300400012_Leh_Wheat1	1.0
X_Mill1_Leh_100300400013_Leh_Atta	30.48
X_Mill1_Leh_100300400013_Leh_Wheat1	1.0
X_Mill1_Leh_100300400014_Leh_Atta	27.03
X_Mill1_Leh_100300400014_Leh_Wheat1	1.0
X_Mill1_Leh_100300400015_Leh_Atta	5.82
X_Mill1_Leh_100300400015_Leh_Wheat1	1.0
X_Mill1_Leh_100300400016_Leh_Atta	12.48
X_Mill1_Leh_100300400016_Leh_Wheat1	1.0
X_Mill1_Leh_100300400017_Leh_Atta	18.27
X_Mill1_Leh_100300400017_Leh_Wheat1	1.0
X_Mill1_Leh_100300400018_Leh_Atta	23.34
X_Mill1_Leh_100300400018_Leh_Wheat1	1.0
X_Mill1_Leh_100300400019_Leh_Atta	12.96
X_Mill1_Leh_100300400019_Leh_Wheat1	1.0
X_Mill1_Leh_100300400020_Leh_Atta	10.89
X_Mill1_Leh_100300400020_Leh_Wheat1	1.0
